id_contrato,text,label_text,label
CO1.PCCNTR.7709488,AUXILIAR DE LA SALUD - AUXILIAR DE ENFERMERIA,REQUIERE_REVISION,0
CO1.PCCNTR.8428945,HABILITAR Y/O BRINDAR TRANSITABILIDAD EN LA RED VIAL A CARGO DEL INVIAS; A TRAVES DEL SISTEMA DE MONTO AGOTABLE; EN VIAS A CARGO DE LA DIRECCIÓN TERRITORIAL DE VALLE DEL CAUCA - LOTE 6.,SUFICIENTE,1
CO1.PCCNTR.4735264,Adquirir a título de compraventa materiales de formación para los cursos del área de confecciones que se imparten en el Centro Industrial y de Energías Alternativas del SENA Regional Guajira.,SUFICIENTE,1
CO1.PCCNTR.4152405,INTERVENTORÍA TÉCNICA; FINANCIERA; ADMINISTRATIVA; AMBIENTAL; JURÍDICA Y CONTABLE AL CONTRATO DE MANTENIMIENTO Y REPARACIÓN DE LAS INSTALACIONES DEL BIEN INMUEBLE PROPIEDAD DEL IDEA; UBICADO EN LA KRA 29 # 37- 65 BARRIO SANTA LUCÍA ZONA URBANA DEL MUNICIPIO DE NECHÍ,SUFICIENTE,1
CO1.PCCNTR.8563232,CONTRATO INTERADMINISTRATIVO DE MANDATO EN LA MODALIDAD DE ADMINISTRACIÓN DELEGADA DE RECURSOS PARA CONSTRUCCIÓN DE LA CASA DE SALUD EN EL CORREGIMIENTO LA BALSITA DEL MUNICIPIO DE DABEIBA - ANTIOQUIA; EN BENEFICIO DE LA COMUNIDAD DEL CENTRO POBLADO LA BALSITA (ID ACC 1671 - ID SRC 272).,SUFICIENTE,1
CO1.PCCNTR.9707672,PRESTAR EL SERVICIO DE ALQUILER DE IMPRESORAS CON SUMINISTROS PARA LA SECRETARIA DISTRITAL DE GOBIERNO.,SUFICIENTE,1
CO1.PCCNTR.5423420,SUMINISTRO A TODO COSTO DE MATERIAL MÉDICO QUIRÚRGICO PARA LOS ESTABLECIMIENTOS DE SANIDAD MILITAR DE LA ARMADA NACIONAL.,SUFICIENTE,1
CO1.PCCNTR.6240546,SUMINISTRO TAMALES PARA LA AGENCIA LOGISTICA DE LAS FUERZAS MILITARES; REGIONAL AMAZONIA,SUFICIENTE,1
CO1.PCCNTR.618210,ADQUISICIÓN DE ELEMENTOS DE DOTACION (BANDERAS; ALFOMBRA PARA CEREMONIAS; MANTEL TERCIOPELO; BANDEJA PROTOCOLARIAS Y SOMBRILLAS) PARA DOTAR A LA DIRECCIÓN DE CARABINEROS Y SEGURIDAD RURAL.,SUFICIENTE,1
CO1.PCCNTR.4882050,Se requiere la prestación del servicio de Evaluaciones Médicas Ocupacionales para los funcionarios del Instituto Departamental de Bellas Artes; así mismo; las evaluaciones complementarias y especializadas; tales como: Audiometría; Espirometría; Perfil Lipídico; entre otros; que por su actividad lo r,SUFICIENTE,1
