id_contrato,descripcion_del_proceso,tipo_de_contrato,etiqueta_consenso,justificacion
CO1.PCCNTR.6037967,CONTRIBUIR A LA SOSTENIBILIDAD FINANCIERA DEL MUNICIPIO DE YOPAL; EN EL ASPECTO PRESUPUESTAL; FINANCIERO Y CONTABLE MEDIANTE LA EJECUCION DE ACTIVIDADES DE EMISION Y ENTREGA DE FACTURAS DEL IMPUESTO PREDIAL Y DEL PROCESO DE RECAUDO POR CONCEPTO DE OTRAS RENTAS MUNICIPALES.,Prestación de servicios,SUFICIENTE,Identifica facturaci?n predial y recaudo de rentas.
CO1.PCCNTR.4942866,Prestar sus servicios de apoyo a la gestión; con plena autonomía técnica y administrativa a la Secretaría de Educación en las IEM y CEM; contemplados dentro del proyecto Administración de costos del sector educativo vigencia 2023 para el Municipio de Pasto. (C-112),Prestación de servicios,REQUIERE_REVISION,Solo menciona apoyo a una secretar?a y un proyecto; no concreta la actividad.
CO1.PCCNTR.337171,Prestar servicios de poyo a la gestión administrativa y/o asistencial en el area de Desarrollo Institucional dentro de los diferentes procesos y procedimientos de la SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE E.S.E. de acuerdo al requerimiento institucional.,Prestación de servicios,REQUIERE_REVISION,"Apoyo administrativo y/o asistencial gen?rico, sin funci?n concreta."
CO1.PCCNTR.6398835,PRESTAR LOS SERVICIOS PROFESIONALES A LA SECRETARÍA DE HACIENDA - GRUPO DE CONTABILIDAD;  BRINDANDO APOYO EN LOS PROCESOS CONTABLES EN LO CONCERNIENTE A LA REVISIÓN DE SOPORTES Y LIQUIDACIÓN DE LAS CUENTAS QUE CORRESPONDAN,Prestación de servicios,SUFICIENTE,Precisa revisi?n de soportes y liquidaci?n de cuentas.
CO1.PCCNTR.7488286,PRESTACION DE SERVICIOS COMO APOYO A LA GESTIÓN EN LA EJEUCIÓN Y DESARROLLO DE ACTIVIDADES PROPIAS PARA LA ADECUADA ATENCIÓN EN LA GESTIÓN DEL RIESGO EN EL DISTRITO DE BARRANCABERMEJA,Prestación de servicios,REQUIERE_REVISION,"Menciona gesti?n del riesgo, pero no indica la actividad contratada."
CO1.PCCNTR.2671654,Prestar los servicios profesionales a la Oficina Técnica Operativa de Fiscalización y Determinación de Rentas realizando actividades propias de los procedimientos aplicando la normatividad legal vigente para los diferentes tributos en desarrollo del proyecto Fortalecimiento de la Tributación en San,Prestación de servicios,SUFICIENTE,Identifica fiscalizaci?n y determinaci?n de rentas sobre tributos.
CO1.PCCNTR.7729501,APOYO LOGÍSTICO PARA LLEVAR A CABO LA REALIZACIÓN DE UN EVENTO ARTISTICO Y CULTURAL ENMARCADO EN LA CONMEMORACIÓN DEL DÍA INTERNACIONAL DE LA MUJER EN EL MUNICIPIO DE ANZÁ - ANTIOQUIA,Prestación de servicios,SUFICIENTE,Define apoyo log?stico para un evento art?stico y cultural espec?fico.
CO1.PCCNTR.1485011,PRESTACIÓN DE SERVICIOS PROFESIONALES ESPECIALIZADOS AL INSTITUTO PARA LA ECONOMÍA SOCIAL EN LA FORMULACIÓN; SEGUIMIENTO; DESARROLLO Y  EVALUACIÓN DE PROCESOS DE CONTRATACIÓN DE INFRAESTRUCTURA; OBRAS E INTERVENTORÍA DE PUNTOS COMERCIALES Y PUNTOS DE ENCUENTRO EN LA RED DE PRESTACIÓN DE SERVICIOS AL,Prestación de servicios,SUFICIENTE,"Define formulaci?n, seguimiento y evaluaci?n de contrataci?n de infraestructura."
CO1.PCCNTR.5823688,Prestar servicios Profesionales especializados a la gestion administrativa y/o asistencial en el area de Ginecobstetricia; dentro de los diferentes procesos y procedimientos de la SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE E.S.E. de acuerdo al requerimiento institucional.,Prestación de servicios,REQUIERE_REVISION,"Indica especialidad y ?rea, pero no una actividad o alcance concreto."
CO1.PCCNTR.8189844,PRESTAR EL SERVICIO PARA REALIZAR EL JUZGAMIENTO DEL TORNEO DEPORTIVO DE LA ESTRATEGIA JUEGOS DEPORTIVOS CIUDAD DE MEDELLÍN; EN LA DISCIPLINA  DEPORTIVA DE FÚTBOL; QUE HACEN PARTE DEL ÁREA DE DEPORTES DE LA SUBDIRECCIÓN DE FOMENTO DEPORTIVO Y RECREATIVO DEL INDER MEDELLÍN,Prestación de servicios,SUFICIENTE,Define el juzgamiento de un torneo de f?tbol.
CO1.PCCNTR.3321647,PRESTACION DE SERVICIOS PROFESIONALES COMO ADMINISTRADOR DE EMPRESAS AGROPECUARIAS PARA EL DEL PROGRAMA MOSTRNDONOS AL MUNDO QUE PERMITA DAR CUMPLIMIENTO A LA META DE FORTALECIMIENTO DE LA ECONOMIA FAMILIAR Y COMUNITARIA MEJORANDO LAS CONDICIONES DE JOVENES Y MUJERES RURALES DE LA OFICINA DE PROYECT,Prestación de servicios,REQUIERE_REVISION,"Indica profesi?n, programa y prop?sito, pero no la labor concreta."
CO1.PCCNTR.7663123,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN EN LA SECRETARÍA DE GOBIERNO COMO GESTOR EN ACTIVIDADES DEEDUCACIÓN Y APROVECHAMIENTO DEL ESPACIO PÚBLICO.,Prestación de servicios,SUFICIENTE,Identifica actividades de educaci?n y aprovechamiento del espacio p?blico.
CO1.PCCNTR.6819568,SAUCC101 Contratar el servicio de producción y entrega del material impreso litográfico; para distribución; que sea requerido por TRANSMILENIO S.A.; y que permita la realización de acciones de divulgación dirigidas a la ciudadanía; mediante piezas de comunicación sobre el Sistema TransMilenio en sus,Suministros,SUFICIENTE,Identifica producci?n y entrega de material impreso para divulgaci?n.
CO1.PCCNTR.1891273,Prestar servicios profesionales a la Dirección de Innovación y Desarrollo Empresarial (DIDE) del Departamento Nacional de Planeación (DNP); para brindar acompañamiento y asesoría en el estudio y análisis de la relación y el impacto de los estándares de calidad en el crecimiento económico del país y,Prestación de servicios,SUFICIENTE,"Identifica acompa?amiento, asesor?a, estudio y an?lisis de est?ndares de calidad."
CO1.PCCNTR.8048793,CONTRATO DE ARRENDAMIENTO DEL MÓDULO NRO. 11 UBICADO EN LA PLAZA DE BOLÍVAR DEL MUNICIPIO DE LA TEBAIDA QUINDÍO; PROPIEDAD DE ESTE MISMO MUNICIPIO,Arrendamiento de inmuebles,SUFICIENTE,Identifica el inmueble espec?fico objeto del arrendamiento.
