id_lote,id_contrato,descripcion_del_proceso_1,tipo_de_contrato_1,origen_muestreo_1,etiqueta_1,descripcion_del_proceso_2,tipo_de_contrato_2,origen_muestreo_2,etiqueta_2,acuerdo,etiqueta_consenso,justificacion_consenso
CR-0207,CO1.PCCNTR.9146928,CTP-074 PRESTAR SERVICIOS PROFESIONALES COMO COORDINADOR DE MUSEOGRAFÍA Y MANAGER DE EXHIBICIONES DE LA CASA MUSEO DEL FUNDADOR GONZALO SUÁREZ RENDÓN,Prestación de servicios,muestra_diversa_por_tipo,SUFICIENTE,CTP-074 PRESTAR SERVICIOS PROFESIONALES COMO COORDINADOR DE MUSEOGRAFÍA Y MANAGER DE EXHIBICIONES DE LA CASA MUSEO DEL FUNDADOR GONZALO SUÁREZ RENDÓN,Prestación de servicios,muestra_diversa_por_tipo,REQUIERE_REVISION,False,REQUIERE_REVISION,Cargo de coordinación museográfica sin actividad o alcance descrito.
CR-0556,CO1.PCCNTR.8801025,Prestar el servicio de médico de psiquiatría en el programa de fortalecimiento de la Atención Primaria en Salud a través de la conformación y operación de equipos básicos de salud; para la E.S.E Hospital Departamental Tomas Uribe Uribe.,Decreto 092 de 2017,muestra_diversa_por_tipo,SUFICIENTE,Prestar el servicio de médico de psiquiatría en el programa de fortalecimiento de la Atención Primaria en Salud a través de la conformación y operación de equipos básicos de salud; para la E.S.E Hospital Departamental Tomas Uribe Uribe.,Decreto 092 de 2017,muestra_diversa_por_tipo,REQUIERE_REVISION,False,REQUIERE_REVISION,"Especialidad médica y programa, pero no precisa la actividad contratada."
CR-0198,CO1.PCCNTR.5821729,acompañamiento como arquitecta a la secretaría de obras públicas para apoyar la coordinación de los procesos técnicos y administrativos que competen a esta dependencia. vigencia 2024.,Prestación de servicios,enriquecimiento_casos_dificiles,REQUIERE_REVISION,acompañamiento como arquitecta a la secretaría de obras públicas para apoyar la coordinación de los procesos técnicos y administrativos que competen a esta dependencia. vigencia 2024.,Prestación de servicios,enriquecimiento_casos_dificiles,SUFICIENTE,False,SUFICIENTE,Identifica acompañamiento y coordinación de procesos técnicos y administrativos de obras públicas.
CR-0079,CO1.PCCNTR.6822828,PRESTACION DE SERVICIOS DE APOYO A LA GESTIÓN PARA BRINDAR APOYO Y ACOMPAÑAMIENTO A EDUBAR S.A. DURANTE LA EJECUCIÓN DEL PROYECTO PARA LA CONSTRUCCIÓN DEL SISTEMA DE ACUEDUCTO REGIONAL DEL NORTE DEL DISTRITO DE BARRANQUILLA Y EL MUNICIPIO DE PUERTO COLOMBIA; DEPARTAMENTO DEL ATLÁNTICO,Prestación de servicios,enriquecimiento_casos_dificiles,SUFICIENTE,PRESTACION DE SERVICIOS DE APOYO A LA GESTIÓN PARA BRINDAR APOYO Y ACOMPAÑAMIENTO A EDUBAR S.A. DURANTE LA EJECUCIÓN DEL PROYECTO PARA LA CONSTRUCCIÓN DEL SISTEMA DE ACUEDUCTO REGIONAL DEL NORTE DEL DISTRITO DE BARRANQUILLA Y EL MUNICIPIO DE PUERTO COLOMBIA; DEPARTAMENTO DEL ATLÁNTICO,Prestación de servicios,enriquecimiento_casos_dificiles,REQUIERE_REVISION,False,REQUIERE_REVISION,Apoyo y acompañamiento genéricos durante un proyecto; no concreta la función.
CR-0230,CO1.PCCNTR.7986499,PRESTAR SERVICIOS TÉCNICOS COMO AUXILIAR DE ENFERMERÍA PARA LA EJECUCIÓN DE ACTIVIDADES INHERENTES A LA OPERACIÓN DE LA ESTRATEGIA DE ATENCIÓN PRIMARIA EN SALUD SEGÚN RESOLUCIÓN 865 DE 2024 EXPEDIDA POR EL MSPS PARA CHAGUANI.,Decreto 092 de 2017,muestra_diversa_por_tipo,SUFICIENTE,PRESTAR SERVICIOS TÉCNICOS COMO AUXILIAR DE ENFERMERÍA PARA LA EJECUCIÓN DE ACTIVIDADES INHERENTES A LA OPERACIÓN DE LA ESTRATEGIA DE ATENCIÓN PRIMARIA EN SALUD SEGÚN RESOLUCIÓN 865 DE 2024 EXPEDIDA POR EL MSPS PARA CHAGUANI.,Decreto 092 de 2017,muestra_diversa_por_tipo,REQUIERE_REVISION,False,REQUIERE_REVISION,Cargo de auxiliar y referencia a actividades inherentes sin describirlas.
CR-0379,CO1.PCCNTR.6678162,CONTRATO DE ARRENDAMIENTO DE BIEN INMUEBLE DE PROPIEDAD DEL MUNICIPIO DE BARBOSA.,Arrendamiento de inmuebles,muestra_diversa_por_tipo,REQUIERE_REVISION,CONTRATO DE ARRENDAMIENTO DE BIEN INMUEBLE DE PROPIEDAD DEL MUNICIPIO DE BARBOSA.,Arrendamiento de inmuebles,muestra_diversa_por_tipo,SUFICIENTE,False,SUFICIENTE,Identifica el negocio principal: arrendamiento de un bien inmueble municipal.
CR-0448,CO1.PCCNTR.6371954,Prestación de servicios profesionales de apoyo a los procesos de la gestión de la salud pública para el logro de productos propios del proyecto de inversión Fortalecimiento de acciones de atención integral en salud desde un enfoque diferencial a víctimas de violencia basada en género y violencia sex,Prestación de servicios,muestra_diversa_por_tipo,SUFICIENTE,Prestación de servicios profesionales de apoyo a los procesos de la gestión de la salud pública para el logro de productos propios del proyecto de inversión Fortalecimiento de acciones de atención integral en salud desde un enfoque diferencial a víctimas de violencia basada en género y violencia sex,Prestación de servicios,muestra_diversa_por_tipo,REQUIERE_REVISION,False,REQUIERE_REVISION,"Apoyo a procesos para lograr productos, sin actividad específica."
CR-0124,CO1.PCCNTR.8812345,PRESTACIÓN DE SERVICIOS PROFESIONALES COMO TRABAJADORA SOCIAL EN EL MARCO DEL PROYECTO MEJORAMIENTO DE LA ATENCION A USUARIOS DE LAS COMISARIAS DE FAMILIA DEL DISTRITO DE CARTAGENA DE INDIAS..,Prestación de servicios,enriquecimiento_casos_dificiles,SUFICIENTE,PRESTACIÓN DE SERVICIOS PROFESIONALES COMO TRABAJADORA SOCIAL EN EL MARCO DEL PROYECTO MEJORAMIENTO DE LA ATENCION A USUARIOS DE LAS COMISARIAS DE FAMILIA DEL DISTRITO DE CARTAGENA DE INDIAS..,Prestación de servicios,enriquecimiento_casos_dificiles,REQUIERE_REVISION,False,REQUIERE_REVISION,"Profesión y proyecto, sin función concreta de trabajo social."
CR-0237,CO1.PCCNTR.3465804,Prestación de servicios profesionales materia de fomento y desarrollo sostenible de la actividad pesquera artesanal del Archipiélago al servicio de la Secretaría de Agricultura y Pesca; de la Gobernación de San Andrés Isla,Prestación de servicios,enriquecimiento_casos_dificiles,SUFICIENTE,Prestación de servicios profesionales materia de fomento y desarrollo sostenible de la actividad pesquera artesanal del Archipiélago al servicio de la Secretaría de Agricultura y Pesca; de la Gobernación de San Andrés Isla,Prestación de servicios,enriquecimiento_casos_dificiles,REQUIERE_REVISION,False,SUFICIENTE,Identifica servicios de fomento y desarrollo sostenible de pesca artesanal.
CR-0287,CO1.PCCNTR.9716027,EF 080 PRESTACIÓN DE SERVICIOS PROFESIONALES COMO INSTRUCTOR DEPORTIVO PARA LA OFICINA FOMENTO Y PROMOCION DE LA EDUCACIÓN FISICA DEL INSTITUTO DE LA JUVENTUD EL DEPORTE LA RECREACION EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACIÓN EXTRA ESCOLAR DEL MUNICIPIO DE TUNJA IRDET EN LOS PROGRAMAS Y,Prestación de servicios,enriquecimiento_casos_dificiles,SUFICIENTE,EF 080 PRESTACIÓN DE SERVICIOS PROFESIONALES COMO INSTRUCTOR DEPORTIVO PARA LA OFICINA FOMENTO Y PROMOCION DE LA EDUCACIÓN FISICA DEL INSTITUTO DE LA JUVENTUD EL DEPORTE LA RECREACION EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACIÓN EXTRA ESCOLAR DEL MUNICIPIO DE TUNJA IRDET EN LOS PROGRAMAS Y,Prestación de servicios,enriquecimiento_casos_dificiles,REQUIERE_REVISION,False,REQUIERE_REVISION,Cargo de instructor y dependencia/programas; el alcance está truncado y no se concreta.
