id_contrato,text,label,label_text,pred_label,pred_text,prob_revision,prob_suficiente,confianza,correcto
CO1.PCCNTR.2445956,Fortalecer el Programa de Vigilancia de la Calidad del Agua para Consumo Humano a través de la prestación del servicio de algunos análisis microbiológicos y fisicoquímicos en aguas de consumo humano y uso recreativo y de diferentes sustancias de interés sanitario que comprometen la salud pública; co,1,SUFICIENTE,1,SUFICIENTE,0.06198946,0.9380106,0.9380106,True
CO1.PCCNTR.6978727,Prestar los servicios para la atención a la primera infancia en los Hogares Comunitarios de Bienestar HCB y Hogares Comunitarios de Bienestar Agrupados; HCB Familia Mujer e Infancia - FAMI; de conformidad con el Manual Operativo de la Modalidad correspondiente; el Lineamiento Técnico para la Aten,1,SUFICIENTE,1,SUFICIENTE,0.12608409,0.8739159,0.8739159,True
CO1.PCCNTR.6610633,AUNAR ESFUERZOS ENTRE EL DEPARTAMENTO DE BOYACA Y LA ALIANZA SOCIETARIA Y DE DESARROLLO EMPRESARIAL DE BOYACA PARA EL FORTALECIMIENTO EN LA RED VIAL SECUNDARIA Y TERCIARIA POR MEDIO DEL MANTENIMIENTO PERIÓDICO Y RUTINARIO DE LA INFRAESTRUCTURA VIAL AÑO 2024; EN EL DEPARTAMENTO DE BOYACÁ,1,SUFICIENTE,1,SUFICIENTE,0.021165619,0.9788344,0.9788344,True
CO1.PCCNTR.8594184,MANTENIMIENTO DE LA INFRAESTRUCTURA FÍSICA DEL ALMACÉN MUNICIPAL UBICADO EN EL BARRIO JORDÁN - PARAÍSO CALLE 37A NO. 19C-26 DEL MUNICIPIO DE VILLAVICENCIO,1,SUFICIENTE,1,SUFICIENTE,0.09227797,0.90772206,0.90772206,True
CO1.PCCNTR.7389922,Prestar servicios personales como instructor para orientar formación profesional titulada y complementaria en el área de seguimiento de etapa practica de acuerdo con la programación establecida por la coordinación académica de Automatización del Centro Nacional Colombo Alemán; cumpliendo con lo esta,1,SUFICIENTE,1,SUFICIENTE,0.20442131,0.7955787,0.7955787,True
CO1.PCCNTR.7396140,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN ADMINISTRATIVA Y/O ASISTENCIAL COMO AUXILIAR EN ENFERMERÍA DENTRO DE LA ESTRATEGIA DE ATENCIÓN DE LOS EQUIPOS BÁSICO DE SALUD (EBS) EN LA E.S.E. HOSPITAL SAN JUAN DE DIOS DE SEGOVIA ANTIOQUIA.,0,REQUIERE_REVISION,0,REQUIERE_REVISION,0.53417206,0.4658279,0.53417206,True
CO1.PCCNTR.1438343,AUNAR ESFUERZOS TÉCNICOS ADMINISTRATIVOS FINANCIEROS Y JURÍDICOS PARA LLEVAR A CABO EN EL MUNICIPIO LA IMPLEMENTACIÓN DE LA NUEVA METODOLOGÍA DE FOCALIZACIÓN DEL SISTEMA DE IDENTIFICACIÓN DE LOS POTENCIALES BENEFICIARIOS DE LOS PROGRAMAS SOCIALES SISBEN IV DE CONFORMIDAD CON EL ESQUEMA DE APALANCAMI,1,SUFICIENTE,1,SUFICIENTE,0.030646773,0.9693532,0.9693532,True
CO1.PCCNTR.6548264,Prestar servicios profesionales en diseño gráfico; maquetación; ilustración y generación de contenidos audiovisuales; así como en la creación y desarrollo material de comunicación institucional que ayude al posicionamiento de la IU Digital de Antioquia.,1,SUFICIENTE,1,SUFICIENTE,0.012053779,0.9879462,0.9879462,True
CO1.PCCNTR.1579040,Prestar servicios de respaldo y soporte al plan de recuperación de Desastres de la Entidad.,1,SUFICIENTE,0,REQUIERE_REVISION,0.5341949,0.4658051,0.5341949,False
CO1.PCCNTR.5102473,Aunar esfuerzos para la implementación y funcionamiento de un Punto de Atención de la Fiscalía General de la Nación (PAF); para la recepción de denuncias y orientación a la ciudadanía en las actividades propias de la Fiscalía General de la Nación; en el Municipio de Córdoba - Bolívar,1,SUFICIENTE,1,SUFICIENTE,0.042048372,0.9579516,0.9579516,True
